,GIFT_BASKET
228,70525.5
229,70514.5
230,70517.5
231,70535.5
232,70542.0
233,70540.5
234,70542.5
235,70536.5
236,70535.5
237,70534.0
238,70533.5
239,70533.0
240,70531.5
241,70524.5
242,70521.5
243,70525.5
244,70520.5
245,70523.5
246,70527.0
247,70523.5
248,70521.5
249,70517.0
250,70515.5
251,70516.5
252,70527.5
253,70534.5
254,70533.5
255,70538.0
256,70526.5
257,70535.0
258,70545.5
259,70548.5
260,70555.5
261,70563.5
262,70559.5
263,70550.5
264,70546.0
265,70538.5
266,70553.5
267,70530.5
268,70526.5
269,70538.0
270,70550.5
271,70547.0
272,70551.5
273,70550.5
274,70555.5
275,70549.5
276,70544.5
277,70546.5
278,70540.5
279,70544.5
280,70562.5
281,70555.0
282,70559.5
283,70556.5
284,70570.5
285,70562.5
286,70567.5
287,70572.5
288,70571.5
289,70564.5
290,70565.5
291,70565.5
292,70558.5
293,70563.5
294,70570.5
295,70568.5
296,70573.5
297,70582.5
298,70573.5
299,70571.5
300,70581.5
301,70599.5
302,70606.5
303,70614.5
304,70629.5
305,70615.5
306,70615.5
307,70606.5
308,70607.5
309,70601.5
310,70602.5
311,70609.5
312,70605.5
313,70604.5
314,70602.5
315,70590.5
316,70581.5
317,70595.5
318,70578.5
319,70576.5
320,70575.5
321,70590.5
322,70589.5
323,70584.0
324,70568.5
325,70568.5
326,70577.5
327,70580.5
328,70570.5
329,70581.5
330,70578.5
331,70580.5
332,70589.5
333,70585.5
334,70578.5
335,70590.5
336,70594.5
337,70589.5
338,70588.0
339,70585.5
340,70579.5
341,70574.5
342,70565.5
343,70579.5
344,70590.5
345,70610.5
346,70597.0
347,70598.5
348,70597.5
349,70594.5
350,70583.5
351,70584.5
352,70588.5
353,70602.5
354,70600.5
355,70603.0
356,70585.5
357,70575.5
358,70580.5
359,70585.5
360,70573.5
361,70578.5
362,70598.5
363,70585.5
364,70606.0
365,70603.5
366,70603.5
367,70593.5
368,70591.5
369,70586.5
370,70571.5
371,70563.5
372,70572.5
373,70583.5
374,70600.5
375,70595.5
376,70597.5
377,70590.5
378,70601.0
379,70597.5
380,70599.5
381,70592.5
382,70595.5
383,70588.5
384,70587.5
385,70594.5
386,70603.0
387,70595.5
388,70597.5
389,70604.5
390,70592.5
391,70600.5
392,70594.5
393,70589.5
394,70578.0
395,70570.0
396,70562.5
397,70562.5
398,70563.5
399,70560.5
400,70574.5
401,70572.0
402,70569.5
403,70565.5
404,70554.5
405,70546.5
406,70541.5
407,70546.5
408,70552.5
409,70544.0
410,70535.5
411,70534.5
412,70540.5
413,70545.5
414,70547.0
415,70555.5
416,70545.5
417,70547.5
418,70547.5
419,70555.5
420,70544.5
421,70538.5
422,70535.5
423,70529.5
424,70535.0
425,70520.5
426,70523.5
427,70517.5
428,70516.5
429,70519.5
430,70528.0
431,70532.5
432,70524.5
433,70528.5
434,70526.5
435,70530.5
436,70533.5
437,70518.0
438,70525.0
439,70520.5
440,70518.5
441,70526.5
442,70530.5
443,70537.5
444,70549.5
445,70541.0
446,70519.5
447,70509.5
448,70497.0
449,70493.5
450,70479.5
451,70473.5
452,70482.5
453,70495.5
454,70493.5
455,70498.5
456,70498.5
457,70504.5
458,70505.5
459,70514.5
460,70508.5
461,70514.5
462,70509.5
463,70513.5
464,70526.5
465,70534.5
466,70530.5
467,70517.5
468,70505.5
469,70502.5
470,70498.5
471,70500.5
472,70505.5
473,70495.5
474,70488.5
475,70491.0
476,70498.5
477,70508.5
478,70500.5
479,70504.5
480,70509.5
481,70522.5
482,70531.5
483,70533.5
484,70534.5
485,70525.5
486,70533.5
487,70525.5
488,70514.5
489,70514.5
490,70521.5
491,70531.0
492,70520.5
493,70515.5
494,70535.0
495,70534.5
496,70528.5
497,70530.5
498,70529.5
499,70538.5
500,70558.5
501,70564.5
502,70558.5
503,70564.0
504,70558.5
505,70553.5
506,70546.5
507,70537.5
508,70542.5
509,70555.5
510,70569.5
511,70580.5
512,70579.5
513,70572.5
514,70575.5
515,70584.5
516,70574.0
517,70581.0
518,70585.5
519,70577.5
520,70585.0
521,70602.5
522,70601.5
523,70612.5
524,70604.5
525,70595.5
526,70598.5
527,70592.5
528,70589.0
529,70583.5
530,70581.0
531,70569.5
532,70568.5
533,70561.5
534,70569.5
535,70568.5
536,70574.0
537,70572.5
538,70564.5
539,70550.5
540,70548.0
541,70543.5
542,70548.5
543,70530.5
544,70540.5
545,70533.0
546,70549.5
547,70539.5
548,70553.5
549,70555.5
550,70546.5
551,70547.5
552,70551.5
553,70537.5
554,70527.5
555,70526.5
556,70533.5
557,70539.5
558,70536.5
559,70540.5
560,70544.5
561,70546.5
562,70532.5
563,70536.5
564,70547.5
565,70556.5
566,70547.5
567,70545.5
568,70552.5
569,70552.5
570,70562.5
571,70581.5
572,70580.5
573,70584.5
574,70584.5
575,70592.5
576,70589.5
577,70585.5
578,70583.5
579,70597.5
580,70575.5
581,70574.5
582,70578.5
583,70564.5
584,70560.5
585,70561.5
586,70567.5
587,70564.5
588,70554.5
589,70559.5
590,70569.5
591,70580.5
592,70589.5
593,70600.5
594,70610.5
595,70613.5
596,70612.5
597,70624.5
598,70630.5
599,70631.5
600,70615.5
601,70601.5
602,70607.5
603,70618.0
604,70614.5
605,70624.5
606,70611.5
607,70621.5
608,70615.5
609,70603.0
610,70605.5
611,70595.5
612,70582.0
613,70578.5
614,70589.5
615,70598.5
616,70581.0
617,70579.5
618,70567.0
619,70566.0
620,70567.5
621,70573.5
622,70579.5
623,70594.5
624,70610.5
625,70620.5
626,70627.5
627,70632.0
628,70631.0
629,70628.5
630,70625.5
631,70624.5
632,70614.5
633,70624.5
634,70619.5
635,70618.5
636,70616.5
637,70619.5
638,70614.5
639,70613.5
640,70611.0
641,70614.5
642,70605.5
643,70604.5
644,70614.5
645,70603.5
646,70606.5
647,70605.5
648,70602.5
649,70601.5
650,70600.5
651,70591.5
652,70594.5
653,70608.5
654,70608.0
655,70613.0
656,70614.5
657,70630.5
658,70629.5
659,70643.5
660,70652.0
661,70663.5
662,70674.0
663,70665.5
664,70672.0
665,70667.5
666,70678.5
667,70675.5
668,70674.5
669,70688.5
670,70692.5
671,70697.5
672,70691.5
673,70693.5
674,70684.0
675,70690.5
676,70688.5
677,70696.5
678,70687.5
679,70681.5
680,70687.5
681,70674.5
682,70671.0
683,70676.5
684,70686.5
685,70688.5
686,70682.5
687,70678.5
688,70691.0
689,70689.5
690,70693.0
691,70701.5
692,70703.5
693,70696.5
694,70697.0
695,70694.0
696,70700.5
697,70700.5
698,70698.5
699,70698.5
700,70698.5
701,70702.0
702,70714.5
703,70705.0
704,70697.5
705,70713.5
706,70710.5
707,70704.0
708,70694.5
709,70699.5
710,70699.5
711,70692.5
712,70686.5
713,70679.5
714,70694.0
715,70688.5
716,70698.5
717,70711.5
718,70714.5
719,70713.0
720,70710.5
721,70711.5
722,70704.5
723,70720.5
724,70723.5
725,70734.5
726,70729.5
727,70720.5
728,70733.5
729,70736.0
730,70739.5
731,70724.5
732,70736.5
733,70731.5
734,70725.5
735,70728.5
736,70739.5
737,70739.5
738,70743.5
739,70757.5
740,70756.5
741,70759.5
742,70759.5
743,70753.5
744,70750.5
745,70760.0
746,70742.5
747,70750.5
748,70753.5
749,70747.5
750,70752.5
751,70753.5
752,70747.5
753,70744.5
754,70747.0
755,70740.5
756,70738.0
757,70734.5
758,70747.5
759,70745.5
760,70748.5
761,70760.5
762,70756.5
763,70754.5
764,70748.5
765,70764.5
766,70762.5
767,70756.5
768,70756.5
769,70738.5
770,70725.5
771,70723.5
772,70730.5
773,70729.5
774,70718.5
775,70727.5
776,70741.5
777,70744.5
778,70746.5
779,70742.5
780,70742.5
781,70743.5
782,70751.5
783,70739.5
784,70730.5
785,70721.5
786,70725.5
787,70740.0
788,70741.5
789,70745.5
790,70748.0
791,70747.5
792,70749.5
793,70755.5
794,70758.0
795,70761.5
796,70756.5
797,70747.5
798,70739.5
799,70737.5
800,70747.5
801,70743.5
802,70728.5
803,70723.5
804,70710.5
805,70714.0
806,70714.5
807,70721.5
808,70713.0
809,70717.5
810,70724.5
811,70726.5
812,70706.5
813,70704.0
814,70710.5
815,70706.5
816,70716.5
817,70714.5
818,70717.5
819,70715.5
820,70700.5
821,70694.5
822,70690.5
823,70690.5
824,70691.5
825,70684.5
826,70699.5
827,70701.5
828,70705.5
829,70704.5
830,70711.5
831,70725.5
832,70709.0
833,70722.5
834,70725.5
835,70721.5
836,70723.5
837,70711.5
838,70700.5
839,70707.5
840,70692.5
841,70710.5
842,70703.5
843,70704.5
844,70710.5
845,70714.5
846,70722.0
847,70721.0
848,70712.5
849,70709.5
850,70717.5
851,70721.5
852,70720.5
853,70710.5
854,70717.5
855,70721.5
856,70718.5
857,70708.5
858,70708.5
859,70706.0
860,70697.0
861,70691.5
862,70688.5
863,70699.0
864,70685.5
865,70677.5
866,70671.0
867,70663.5
868,70676.5
869,70677.5
870,70674.5
871,70675.5
872,70682.5
873,70689.5
874,70686.5
875,70682.5
876,70694.5
877,70697.5
878,70687.5
879,70701.5
880,70698.5
881,70703.5
882,70688.5
883,70696.5
884,70699.5
885,70697.5
886,70708.0
887,70702.5
888,70707.5
889,70716.5
890,70713.5
891,70731.5
892,70718.5
893,70708.5
894,70711.5
895,70712.5
896,70696.0
897,70680.5
898,70692.5
899,70704.5
900,70708.0
901,70706.5
902,70698.5
903,70704.5
904,70698.5
905,70705.5
906,70704.0
907,70706.0
908,70710.5
909,70718.5
910,70730.5
911,70736.5
912,70728.5
913,70746.0
914,70747.5
915,70744.5
916,70736.0
917,70739.5
918,70733.5
919,70752.5
920,70759.0
921,70753.0
922,70762.5
923,70747.5
924,70747.5
925,70740.5
926,70739.5
927,70735.0
928,70740.5
929,70746.5
930,70742.5
931,70747.5
932,70737.5
933,70747.0
934,70754.5
935,70761.5
936,70766.5
937,70764.5
938,70756.5
939,70758.5
940,70743.5
941,70739.0
942,70739.5
943,70735.5
944,70735.5
945,70730.5
946,70721.5
947,70719.5
948,70701.5
949,70705.5
950,70711.0
951,70724.5
952,70715.5
953,70707.5
954,70704.5
955,70692.5
956,70698.5
957,70699.0
958,70679.5
959,70681.5
960,70664.5
961,70659.5
962,70667.5
963,70665.5
964,70669.5
965,70675.5
966,70686.5
967,70670.5
968,70663.5
969,70666.5
970,70662.5
971,70663.5
972,70662.5
973,70663.5
974,70674.5
975,70682.5
976,70676.0
977,70680.5
978,70690.0
979,70691.5
980,70698.5
981,70709.5
982,70721.5
983,70711.5
984,70723.5
985,70716.5
986,70724.0
987,70718.5
988,70722.5
989,70712.5
990,70702.5
991,70710.0
992,70711.5
993,70710.0
994,70706.5
995,70708.0
996,70717.5
997,70719.5
998,70723.5
999,70735.5
1000,70736.5
