,STRAWBERRIES
205,4033.0
206,4033.0
207,4033.0
208,4032.5
209,4032.5
210,4032.5
211,4032.5
212,4032.5
213,4032.5
214,4032.5
215,4032.5
216,4033.0
217,4033.0
218,4033.5
219,4033.0
220,4032.5
221,4032.5
222,4033.0
223,4033.0
224,4033.0
225,4033.0
226,4033.0
227,4032.5
228,4033.0
229,4033.0
230,4033.5
231,4034.0
232,4034.0
233,4034.5
234,4035.0
235,4034.5
236,4035.0
237,4034.5
238,4034.5
239,4034.5
240,4034.5
241,4035.0
242,4034.5
243,4034.5
244,4034.5
245,4034.5
246,4034.5
247,4034.5
248,4034.0
249,4034.5
250,4035.0
251,4035.5
252,4036.0
253,4035.5
254,4035.5
255,4035.5
256,4036.0
257,4036.0
258,4036.5
259,4036.5
260,4036.5
261,4036.5
262,4036.5
263,4035.5
264,4036.5
265,4035.5
266,4036.5
267,4036.5
268,4037.0
269,4037.0
270,4037.5
271,4037.5
272,4037.0
273,4037.0
274,4037.0
275,4037.5
276,4037.0
277,4037.5
278,4037.5
279,4037.5
280,4037.5
281,4037.5
282,4037.0
283,4036.5
284,4037.5
285,4036.5
286,4036.5
287,4036.5
288,4036.5
289,4036.5
290,4035.5
291,4035.5
292,4035.5
293,4035.5
294,4035.0
295,4035.0
296,4035.0
297,4035.5
298,4035.0
299,4035.0
300,4035.0
301,4035.0
302,4035.5
303,4035.5
304,4035.0
305,4034.5
306,4034.0
307,4034.0
308,4033.5
309,4033.5
310,4033.0
311,4033.0
312,4033.0
313,4033.0
314,4032.5
315,4032.5
316,4032.5
317,4032.5
318,4032.5
319,4032.5
320,4032.5
321,4033.0
322,4033.0
323,4032.5
324,4032.0
325,4032.0
326,4032.5
327,4032.5
328,4032.5
329,4032.5
330,4032.5
331,4033.0
332,4033.5
333,4032.5
334,4033.0
335,4033.0
336,4033.0
337,4033.0
338,4032.5
339,4032.5
340,4032.0
341,4032.5
342,4032.0
343,4032.5
344,4033.0
345,4033.0
346,4033.0
347,4034.0
348,4033.5
349,4033.5
350,4033.5
351,4033.5
352,4033.5
353,4034.0
354,4034.5
355,4034.5
356,4034.5
357,4034.0
358,4035.0
359,4034.5
360,4034.5
361,4035.0
362,4034.5
363,4034.5
364,4035.0
365,4034.5
366,4035.0
367,4035.5
368,4035.5
369,4035.5
370,4035.5
371,4035.5
372,4035.5
373,4035.5
374,4036.0
375,4036.0
376,4036.5
377,4036.5
378,4035.5
379,4036.0
380,4035.5
381,4035.0
382,4035.5
383,4035.5
384,4035.5
385,4035.5
386,4036.5
387,4037.0
388,4037.0
389,4036.5
390,4036.5
391,4036.0
392,4036.0
393,4036.0
394,4036.0
395,4036.5
396,4036.0
397,4036.5
398,4036.5
399,4036.5
400,4036.5
401,4037.5
402,4038.5
403,4038.5
404,4038.5
405,4038.5
406,4038.5
407,4039.0
408,4038.5
409,4038.5
410,4039.0
411,4038.5
412,4039.0
413,4039.5
414,4039.5
415,4039.5
416,4039.0
417,4039.0
418,4038.5
419,4038.5
420,4038.0
421,4038.0
422,4038.0
423,4038.5
424,4038.5
425,4038.5
426,4037.5
427,4038.0
428,4037.5
429,4037.5
430,4038.0
431,4038.5
432,4038.0
433,4037.5
434,4037.5
435,4037.5
436,4037.5
437,4037.5
438,4037.5
439,4038.5
440,4038.5
441,4038.5
442,4038.5
443,4039.0
444,4039.0
445,4039.5
446,4039.5
447,4039.0
448,4038.5
449,4038.5
450,4037.5
451,4037.5
452,4037.0
453,4037.0
454,4036.5
455,4037.0
456,4036.5
457,4037.0
458,4036.5
459,4036.5
460,4037.5
461,4037.5
462,4037.0
463,4037.0
464,4037.0
465,4037.0
466,4036.5
467,4036.0
468,4036.0
469,4035.5
470,4035.5
471,4035.5
472,4036.5
473,4037.0
474,4037.0
475,4037.5
476,4037.5
477,4037.5
478,4037.0
479,4038.0
480,4038.5
481,4037.5
482,4037.5
483,4037.5
484,4037.5
485,4037.5
486,4037.5
487,4037.0
488,4036.5
489,4036.5
490,4036.5
491,4037.0
492,4036.5
493,4036.0
494,4037.0
495,4036.5
496,4036.5
497,4037.0
498,4037.5
499,4037.5
500,4037.5
501,4037.5
502,4038.0
503,4038.5
504,4037.5
505,4037.5
506,4037.5
507,4037.5
508,4038.5
509,4038.5
510,4039.5
511,4040.0
512,4040.0
513,4040.0
514,4040.0
515,4039.5
516,4039.5
517,4040.0
518,4040.0
519,4039.5
520,4039.5
521,4040.0
522,4040.5
523,4041.0
524,4040.5
525,4041.0
526,4041.0
527,4041.0
528,4041.0
529,4040.5
530,4041.0
531,4041.0
532,4040.5
533,4040.5
534,4041.0
535,4041.5
536,4041.5
537,4041.5
538,4041.5
539,4041.0
540,4041.5
541,4041.5
542,4041.5
543,4041.0
544,4040.5
545,4040.5
546,4040.5
547,4040.0
548,4039.5
549,4040.0
550,4039.5
551,4039.5
552,4040.0
553,4040.0
554,4041.0
555,4041.5
556,4041.5
557,4041.5
558,4041.5
559,4041.5
560,4041.5
561,4041.5
562,4042.0
563,4043.0
564,4043.5
565,4044.5
566,4044.0
567,4043.5
568,4044.0
569,4043.5
570,4044.0
571,4044.5
572,4045.5
573,4045.5
574,4045.5
575,4045.5
576,4044.5
577,4045.0
578,4045.0
579,4044.5
580,4044.5
581,4045.0
582,4045.5
583,4044.5
584,4044.0
585,4044.0
586,4044.5
587,4044.5
588,4043.5
589,4043.5
590,4043.5
591,4043.5
592,4045.0
593,4045.0
594,4045.0
595,4044.5
596,4044.5
597,4045.0
598,4045.0
599,4045.0
600,4045.0
601,4044.5
602,4044.5
603,4044.5
604,4044.5
605,4045.0
606,4044.5
607,4044.5
608,4044.5
609,4043.5
610,4043.5
611,4043.0
612,4044.0
613,4044.0
614,4045.0
615,4044.5
616,4044.0
617,4045.0
618,4045.0
619,4045.0
620,4045.0
621,4045.0
622,4045.0
623,4045.0
624,4046.0
625,4045.5
626,4046.5
627,4046.0
628,4046.0
629,4045.5
630,4045.5
631,4045.5
632,4045.5
633,4045.0
634,4045.0
635,4045.0
636,4044.5
637,4044.5
638,4044.5
639,4044.5
640,4044.0
641,4044.0
642,4044.0
643,4043.5
644,4044.0
645,4043.5
646,4043.5
647,4043.5
648,4043.5
649,4043.5
650,4043.5
651,4043.0
652,4043.5
653,4043.5
654,4043.5
655,4044.0
656,4044.0
657,4044.0
658,4044.5
659,4044.5
660,4045.0
661,4045.0
662,4044.5
663,4045.5
664,4045.0
665,4044.5
666,4044.5
667,4044.0
668,4044.5
669,4044.0
670,4043.5
671,4044.5
672,4044.5
673,4044.5
674,4043.5
675,4043.5
676,4043.5
677,4043.5
678,4044.0
679,4044.5
680,4044.5
681,4044.0
682,4044.5
683,4044.5
684,4044.0
685,4044.0
686,4044.0
687,4044.0
688,4043.5
689,4043.5
690,4043.5
691,4044.5
692,4044.0
693,4045.0
694,4045.0
695,4045.5
696,4045.5
697,4045.5
698,4046.0
699,4045.5
700,4045.0
701,4045.5
702,4046.0
703,4046.0
704,4045.0
705,4044.5
706,4044.5
707,4044.5
708,4044.5
709,4044.5
710,4044.5
711,4044.5
712,4044.0
713,4044.0
714,4044.5
715,4045.5
716,4045.0
717,4045.5
718,4045.5
719,4045.5
720,4046.0
721,4045.5
722,4045.5
723,4046.5
724,4045.5
725,4045.0
726,4044.5
727,4044.0
728,4043.5
729,4043.5
730,4044.0
731,4044.0
732,4043.5
733,4043.5
734,4044.0
735,4043.5
736,4043.5
737,4043.5
738,4043.5
739,4043.5
740,4043.0
741,4043.5
742,4044.0
743,4044.0
744,4044.0
745,4044.5
746,4044.5
747,4044.5
748,4044.5
749,4043.5
750,4044.5
751,4044.5
752,4044.5
753,4045.0
754,4044.5
755,4044.5
756,4043.5
757,4043.5
758,4044.0
759,4043.5
760,4044.0
761,4044.0
762,4044.0
763,4044.0
764,4043.5
765,4043.5
766,4043.5
767,4043.0
768,4042.5
769,4042.0
770,4042.5
771,4042.5
772,4042.5
773,4042.5
774,4042.5
775,4042.5
776,4042.5
777,4042.0
778,4042.0
779,4042.0
780,4041.5
781,4041.0
782,4041.0
783,4040.5
784,4040.5
785,4040.5
786,4040.5
787,4040.5
788,4041.0
789,4041.5
790,4041.5
791,4041.5
792,4042.0
793,4042.5
794,4042.5
795,4042.5
796,4043.0
797,4042.5
798,4042.5
799,4042.5
800,4042.0
801,4041.5
802,4041.5
803,4041.0
804,4040.5
805,4041.0
806,4041.5
807,4042.5
808,4042.5
809,4042.5
810,4042.5
811,4043.0
812,4043.0
813,4042.5
814,4043.5
815,4043.5
816,4043.0
817,4043.5
818,4043.5
819,4043.5
820,4044.0
821,4044.0
822,4043.5
823,4043.5
824,4043.0
825,4042.5
826,4042.5
827,4043.0
828,4043.0
829,4043.5
830,4043.5
831,4043.0
832,4042.5
833,4043.0
834,4043.5
835,4043.5
836,4043.0
837,4043.0
838,4042.0
839,4042.0
840,4043.0
841,4043.5
842,4043.5
843,4043.5
844,4043.0
845,4043.0
846,4043.5
847,4043.0
848,4043.5
849,4043.0
850,4043.0
851,4042.5
852,4043.0
853,4042.5
854,4042.0
855,4042.5
856,4042.5
857,4042.5
858,4041.5
859,4042.0
860,4042.0
861,4042.0
862,4041.5
863,4041.5
864,4041.5
865,4040.5
866,4039.5
867,4040.0
868,4040.0
869,4040.5
870,4040.5
871,4041.0
872,4041.0
873,4040.5
874,4041.0
875,4041.0
876,4041.0
877,4041.0
878,4041.0
879,4041.5
880,4041.0
881,4041.0
882,4041.0
883,4041.5
884,4042.0
885,4042.0
886,4041.5
887,4041.5
888,4042.0
889,4042.0
890,4042.0
891,4042.5
892,4042.5
893,4042.5
894,4042.5
895,4042.5
896,4042.0
897,4042.0
898,4042.0
899,4043.0
900,4043.5
901,4043.5
902,4042.5
903,4043.0
904,4043.5
905,4043.5
906,4043.0
907,4042.5
908,4043.0
909,4043.5
910,4043.0
911,4042.5
912,4042.5
913,4043.0
914,4043.0
915,4042.5
916,4043.0
917,4042.5
918,4042.5
919,4042.5
920,4042.0
921,4042.5
922,4042.5
923,4042.0
924,4042.0
925,4041.5
926,4041.5
927,4041.5
928,4042.0
929,4042.0
930,4041.5
931,4041.5
932,4042.0
933,4042.5
934,4042.5
935,4042.5
936,4042.5
937,4042.5
938,4042.5
939,4042.5
940,4042.5
941,4042.5
942,4042.5
943,4042.5
944,4042.5
945,4042.5
946,4042.0
947,4042.5
948,4042.0
949,4042.0
950,4042.0
951,4042.5
952,4042.5
953,4042.5
954,4042.5
955,4043.0
956,4042.5
957,4042.5
958,4042.5
959,4043.0
960,4042.5
961,4042.0
962,4042.5
963,4042.5
964,4042.5
965,4042.5
966,4042.0
967,4042.5
968,4042.0
969,4042.0
970,4042.0
971,4042.0
972,4042.0
973,4042.5
974,4042.5
975,4043.5
976,4043.5
977,4044.0
978,4044.0
979,4044.5
980,4044.5
981,4044.5
982,4045.0
983,4045.0
984,4044.5
985,4044.5
986,4045.0
987,4044.5
988,4044.5
989,4044.5
990,4044.5
991,4045.5
992,4045.0
993,4044.5
994,4044.0
995,4043.5
996,4043.5
997,4043.5
998,4043.5
999,4043.0
1000,4043.0
