,ROSES
799,14412.5
800,14412.5
801,14413.0
802,14412.5
803,14412.0
804,14410.5
805,14409.0
806,14408.0
807,14407.5
808,14402.5
809,14403.0
810,14403.0
811,14404.5
812,14401.5
813,14399.0
814,14401.5
815,14399.5
816,14401.0
817,14399.5
818,14396.0
819,14392.5
820,14390.5
821,14389.5
822,14386.5
823,14390.5
824,14390.5
825,14388.5
826,14392.5
827,14394.5
828,14392.5
829,14390.5
830,14389.5
831,14392.0
832,14388.5
833,14391.5
834,14390.5
835,14393.0
836,14392.5
837,14394.0
838,14396.0
839,14399.5
840,14397.5
841,14403.0
842,14399.5
843,14400.5
844,14402.5
845,14403.0
846,14405.5
847,14401.5
848,14401.5
849,14404.0
850,14404.5
851,14401.5
852,14402.0
853,14402.5
854,14400.5
855,14404.0
856,14402.5
857,14400.0
858,14400.5
859,14398.5
860,14398.5
861,14399.5
862,14398.5
863,14400.0
864,14401.0
865,14404.5
866,14402.0
867,14402.5
868,14403.0
869,14404.0
870,14398.5
871,14396.0
872,14397.0
873,14398.5
874,14399.0
875,14399.5
876,14403.0
877,14402.5
878,14400.5
879,14404.5
880,14406.5
881,14406.0
882,14404.5
883,14408.5
884,14408.5
885,14406.5
886,14410.0
887,14406.0
888,14406.0
889,14407.5
890,14407.0
891,14406.0
892,14407.5
893,14404.5
894,14403.5
895,14406.0
896,14403.5
897,14407.0
898,14406.5
899,14406.5
900,14405.5
901,14407.5
902,14406.5
903,14407.0
904,14410.5
905,14414.0
906,14410.5
907,14414.0
908,14412.5
909,14413.5
910,14414.5
911,14415.5
912,14413.5
913,14415.5
914,14418.5
915,14417.0
916,14417.5
917,14419.5
918,14422.5
919,14423.5
920,14424.5
921,14426.0
922,14425.5
923,14426.5
924,14425.5
925,14425.0
926,14419.0
927,14414.5
928,14415.5
929,14417.5
930,14419.0
931,14419.5
932,14418.5
933,14420.5
934,14419.5
935,14419.5
936,14424.0
937,14420.5
938,14418.5
939,14418.5
940,14413.5
941,14410.5
942,14413.5
943,14414.5
944,14414.5
945,14418.5
946,14415.5
947,14421.0
948,14421.0
949,14419.5
950,14422.5
951,14424.0
952,14424.5
953,14424.5
954,14419.5
955,14414.5
956,14414.5
957,14417.5
958,14415.5
959,14415.5
960,14411.5
961,14407.5
962,14407.5
963,14409.5
964,14411.5
965,14414.5
966,14412.5
967,14412.5
968,14414.5
969,14412.0
970,14411.5
971,14411.5
972,14411.5
973,14413.5
974,14415.0
975,14414.0
976,14407.5
977,14410.0
978,14412.5
979,14414.5
980,14415.5
981,14416.5
982,14420.0
983,14418.5
984,14418.5
985,14416.0
986,14415.5
987,14413.5
988,14411.0
989,14405.5
990,14405.5
991,14408.5
992,14400.5
993,14404.0
994,14403.5
995,14402.5
996,14403.0
997,14402.5
998,14402.0
999,14406.0
1000,14406.5
